,Seq#,ID#,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,Related Purchase,Mcode,Rcode,Fcode,Yes_Florence,No_Florence
0,1,25,Female,297,14,2,22,0,1,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,2 books,0,1
1,2,29,Male,128,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,101-200,7-12 mos.,2 books,0,1
2,3,46,Female,138,22,7,56,2,1,2,0,1,0,1,1,0,0,0,2,101-200,13+ mos.,3+ books,0,1
3,4,47,Female,228,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,200+,0-2 mos.,1 book,0,1
4,5,51,Female,257,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
5,6,60,Female,145,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0,101-200,3-6 mos.,2 books,0,1
6,7,61,Female,190,16,1,16,0,0,0,0,0,0,1,0,0,0,0,1,101-200,13+ mos.,1 book,0,1
7,8,79,Female,187,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
8,9,81,Female,252,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
9,10,90,Female,240,6,3,20,0,0,1,0,0,0,0,0,0,0,0,0,200+,3-6 mos.,3+ books,0,1
10,11,95,Female,275,2,4,20,0,0,1,0,0,0,0,0,0,0,0,0,200+,0-2 mos.,3+ books,0,1
11,12,100,Male,320,2,3,18,0,0,0,0,0,1,0,0,0,0,1,1,200+,0-2 mos.,3+ books,1,0
12,13,103,Female,268,4,1,4,0,0,0,0,0,0,0,0,0,0,1,0,200+,3-6 mos.,1 book,1,0
13,14,112,Male,135,14,1,14,1,0,0,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
14,15,116,Female,213,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,3-6 mos.,2 books,0,1
15,16,121,Female,256,14,9,58,2,0,3,0,1,1,2,1,1,1,0,6,200+,13+ mos.,3+ books,0,1
16,17,125,Female,226,14,6,28,2,1,2,0,0,1,0,1,0,0,0,2,200+,13+ mos.,3+ books,0,1
17,18,126,Male,81,22,1,22,0,0,1,0,0,0,0,0,0,0,0,0,51-100,13+ mos.,1 book,0,1
18,19,127,Female,330,10,10,38,0,0,2,2,1,1,0,0,0,0,0,1,200+,7-12 mos.,3+ books,0,1
19,20,145,Female,393,12,11,50,3,0,2,0,0,2,3,0,0,0,1,5,200+,7-12 mos.,3+ books,1,0
20,21,164,Female,213,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,200+,0-2 mos.,1 book,0,1
21,22,169,Female,243,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
22,23,193,Female,63,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,51-100,3-6 mos.,1 book,0,1
23,24,201,Female,57,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,51-100,0-2 mos.,1 book,0,1
24,25,202,Male,260,34,11,74,0,2,3,5,0,1,0,0,0,0,0,1,200+,13+ mos.,3+ books,0,1
25,26,208,Female,32,26,2,32,1,0,0,0,0,0,1,0,0,0,0,1,26-50,13+ mos.,2 books,0,1
26,27,214,Male,177,24,1,24,0,0,0,0,0,1,0,0,0,0,0,1,101-200,13+ mos.,1 book,0,1
27,28,224,Female,33,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,26-50,7-12 mos.,1 book,0,1
28,29,225,Female,172,16,1,16,0,0,0,0,1,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
29,30,256,Female,133,32,2,36,1,0,1,0,0,0,0,1,0,0,0,1,101-200,13+ mos.,2 books,0,1
30,31,257,Female,194,28,2,30,1,0,1,0,0,0,0,1,0,0,0,1,101-200,13+ mos.,2 books,0,1
31,32,263,Male,32,14,1,14,0,0,0,0,0,1,0,0,0,0,0,1,26-50,13+ mos.,1 book,0,1
32,33,265,Female,352,12,11,66,4,1,3,1,0,1,0,2,0,1,0,4,200+,7-12 mos.,3+ books,0,1
33,34,266,Female,319,12,8,32,2,1,1,1,0,0,1,0,0,0,0,1,200+,7-12 mos.,3+ books,0,1
34,35,267,Female,242,10,5,32,0,0,2,0,1,1,0,0,0,0,0,1,200+,7-12 mos.,3+ books,0,1
35,36,275,Female,78,6,2,10,0,0,0,0,0,0,0,0,0,0,0,0,51-100,3-6 mos.,2 books,0,1
36,37,277,Female,223,16,7,44,2,1,1,1,0,2,0,1,0,1,0,4,200+,13+ mos.,3+ books,0,1
37,38,282,Female,285,14,11,52,2,0,3,4,0,1,1,1,0,0,0,3,200+,13+ mos.,3+ books,0,1
38,39,288,Male,312,36,10,58,2,2,2,1,1,1,1,1,1,1,0,5,200+,13+ mos.,3+ books,0,1
39,40,330,Male,211,6,11,44,3,2,2,0,0,2,1,2,0,1,0,6,200+,3-6 mos.,3+ books,0,1
40,41,333,Female,280,30,2,34,0,1,1,0,0,0,0,1,0,0,0,1,200+,13+ mos.,2 books,0,1
41,42,340,Female,320,28,3,38,0,0,2,0,0,1,0,0,0,0,0,1,200+,13+ mos.,3+ books,0,1
42,43,345,Female,234,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,200+,3-6 mos.,2 books,0,1
43,44,347,Female,105,8,7,40,1,1,1,0,2,0,1,0,0,0,0,1,101-200,7-12 mos.,3+ books,0,1
44,45,353,Male,317,10,3,28,0,0,0,0,0,1,1,0,0,0,0,2,200+,7-12 mos.,3+ books,0,1
45,46,354,Male,49,22,3,32,0,0,1,1,0,1,0,0,0,0,0,1,26-50,13+ mos.,3+ books,0,1
46,47,356,Male,189,16,9,68,1,0,1,3,1,1,2,0,0,0,0,3,101-200,13+ mos.,3+ books,0,1
47,48,391,Female,143,14,9,38,2,2,1,1,1,2,0,0,0,0,0,2,101-200,13+ mos.,3+ books,0,1
48,49,397,Female,254,8,2,12,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,2 books,0,1
49,50,401,Female,355,16,5,28,1,0,2,0,1,1,0,0,0,0,0,1,200+,13+ mos.,3+ books,0,1
50,51,405,Male,43,24,2,26,1,0,0,0,0,1,0,0,0,0,0,1,26-50,13+ mos.,2 books,0,1
51,52,409,Female,233,30,8,54,0,1,2,2,0,2,1,0,0,0,0,3,200+,13+ mos.,3+ books,0,1
52,53,411,Female,210,2,3,20,0,1,0,0,0,0,1,0,0,0,0,1,200+,0-2 mos.,3+ books,0,1
53,54,436,Male,310,22,5,32,1,1,0,1,0,2,0,0,0,0,0,2,200+,13+ mos.,3+ books,0,1
54,55,438,Female,378,10,7,50,0,1,1,1,0,2,1,0,0,0,0,3,200+,7-12 mos.,3+ books,0,1
55,56,439,Male,305,6,9,40,2,1,1,1,0,2,1,0,0,0,0,3,200+,3-6 mos.,3+ books,0,1
56,57,440,Female,458,10,12,44,1,0,3,1,1,2,0,2,1,1,1,6,200+,7-12 mos.,3+ books,1,0
57,58,444,Female,235,14,1,14,0,0,0,0,0,1,0,0,0,0,0,1,200+,13+ mos.,1 book,0,1
58,59,450,Female,148,22,3,30,1,0,2,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,3+ books,0,1
59,60,453,Female,154,10,7,46,0,1,0,1,0,1,3,0,0,0,1,4,101-200,7-12 mos.,3+ books,1,0
60,61,477,Male,123,12,2,16,1,0,0,0,0,0,0,0,0,0,1,0,101-200,7-12 mos.,2 books,1,0
61,62,480,Female,118,8,2,10,0,0,0,0,0,0,0,0,0,0,0,0,101-200,7-12 mos.,2 books,0,1
62,63,484,Female,329,12,8,36,0,1,0,0,1,0,1,0,0,0,0,1,200+,7-12 mos.,3+ books,0,1
63,64,505,Female,350,4,5,16,0,0,2,0,0,0,0,1,0,0,0,1,200+,3-6 mos.,3+ books,0,1
64,65,506,Female,235,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
65,66,553,Female,126,16,8,48,2,1,1,2,0,0,2,1,0,0,0,3,101-200,13+ mos.,3+ books,0,1
66,67,557,Male,274,34,2,40,1,0,0,1,0,0,0,0,0,0,0,0,200+,13+ mos.,2 books,0,1
67,68,560,Female,299,12,3,26,0,0,0,0,0,0,2,0,0,0,0,2,200+,7-12 mos.,3+ books,0,1
68,69,565,Male,294,10,3,20,0,1,0,0,1,0,0,0,0,0,0,0,200+,7-12 mos.,3+ books,0,1
69,70,567,Female,135,16,8,60,3,1,0,1,0,2,1,0,0,2,0,5,101-200,13+ mos.,3+ books,0,1
70,71,579,Male,230,10,2,14,1,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,2 books,0,1
71,72,582,Female,140,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,101-200,0-2 mos.,1 book,1,0
72,73,585,Female,307,24,9,46,3,2,0,2,2,0,0,0,0,0,0,0,200+,13+ mos.,3+ books,0,1
73,74,592,Female,201,8,1,8,0,0,0,0,0,0,0,0,0,0,0,0,200+,7-12 mos.,1 book,0,1
74,75,594,Female,193,16,2,20,1,0,0,0,0,1,0,0,0,0,0,1,101-200,13+ mos.,2 books,0,1
75,76,609,Female,112,36,1,36,0,0,1,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
76,77,612,Male,277,14,1,14,0,0,1,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
77,78,619,Female,49,10,2,14,0,0,0,1,0,0,0,0,0,0,0,0,26-50,7-12 mos.,2 books,0,1
78,79,625,Female,149,6,3,18,0,0,0,0,1,0,0,0,0,0,0,0,101-200,3-6 mos.,3+ books,0,1
79,80,633,Female,294,24,2,30,0,0,1,0,1,0,0,0,0,0,0,0,200+,13+ mos.,2 books,0,1
80,81,644,Female,302,6,5,20,0,0,1,0,0,1,0,0,0,0,0,1,200+,3-6 mos.,3+ books,0,1
81,82,649,Female,138,22,1,22,1,0,0,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,1 book,0,1
82,83,650,Female,195,12,2,16,0,0,0,0,1,0,0,0,0,0,0,0,101-200,7-12 mos.,2 books,0,1
83,84,658,Female,101,16,2,22,0,0,2,0,0,0,0,0,0,0,0,0,101-200,13+ mos.,2 books,0,1
84,85,687,Male,178,26,8,56,1,1,2,0,0,2,2,1,0,1,0,6,101-200,13+ mos.,3+ books,0,1
85,86,706,Female,128,10,2,16,1,0,0,0,0,0,0,0,0,0,0,0,101-200,7-12 mos.,2 books,0,1
86,87,708,Male,277,30,11,78,2,0,1,1,2,2,3,0,0,0,1,5,200+,13+ mos.,3+ books,1,0
87,88,712,Female,306,10,2,16,0,0,0,0,0,1,0,0,0,0,0,1,200+,7-12 mos.,2 books,0,1
88,89,721,Female,292,32,2,40,0,0,0,1,0,1,0,0,0,1,0,2,200+,13+ mos.,2 books,0,1
89,90,723,Female,215,2,8,36,0,0,0,0,1,3,2,0,0,0,1,5,200+,0-2 mos.,3+ books,1,0
90,91,743,Female,240,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,200+,13+ mos.,1 book,0,1
91,92,759,Male,208,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,200+,3-6 mos.,1 book,0,1
92,93,761,Female,141,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,101-200,7-12 mos.,1 book,0,1
